date,year,album,song,artist,danceability,energy,speechiness,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
9/29/23,2023,Autumn Variations,Amazing,Ed Sheeran,0.809,0.664,0.0373,-7.265,0.429,1.55E-06,0.131,0.374,116.996,245813
9/29/23,2023,Autumn Variations,Plastic Bag,Ed Sheeran,0.713,0.727,0.0528,-6.551,0.621,0,0.0751,0.384,120.016,229850
9/29/23,2023,Autumn Variations,Blue,Ed Sheeran,0.668,0.314,0.0298,-8.275,0.888,0,0.222,0.414,78.019,153899
9/29/23,2023,Autumn Variations,American Town,Ed Sheeran,0.74,0.652,0.0601,-5.668,0.736,0,0.348,0.715,105.025,197976
9/29/23,2023,Autumn Variations,That’s On Me,Ed Sheeran,0.822,0.696,0.114,-6.275,0.634,0,0.0624,0.575,106.995,227398
9/29/23,2023,Autumn Variations,Page,Ed Sheeran,0.774,0.604,0.0404,-6.385,0.623,3.48E-06,0.0889,0.62,146.081,231021
9/29/23,2023,Autumn Variations,Midnight,Ed Sheeran,0.555,0.824,0.0591,-5.843,0.425,7.78E-05,0.082,0.685,178.034,179538
9/29/23,2023,Autumn Variations,Spring,Ed Sheeran,0.644,0.317,0.0317,-11.565,0.923,0.00159,0.104,0.667,96.081,178615
9/29/23,2023,Autumn Variations,Punchline,Ed Sheeran,0.534,0.407,0.0261,-7.994,0.844,0,0.113,0.616,154.059,206008
9/29/23,2023,Autumn Variations,When Will I Be Alright,Ed Sheeran,0.614,0.244,0.0301,-9.345,0.935,5.64E-05,0.112,0.488,126.381,175878
9/29/23,2023,Autumn Variations,The Day I Was Born,Ed Sheeran,0.6,0.667,0.0443,-5.504,0.657,0,0.327,0.725,135.083,252318
9/29/23,2023,Autumn Variations,Head > Heels,Ed Sheeran,0.711,0.328,0.0592,-9.172,0.759,0.000538,0.116,0.347,77.539,253881
5/5/23,2023,#NAME?,Boat,Ed Sheeran,0.47,0.203,0.0371,-8.676,0.758,2.41E-06,0.312,0.325,153.578,185675
5/5/23,2023,#NAME?,Salt Water,Ed Sheeran,0.584,0.374,0.0337,-9.224,0.617,2.86E-06,0.0694,0.279,147.084,239770
5/5/23,2023,#NAME?,Eyes Closed,Ed Sheeran,0.793,0.52,0.0696,-7.457,0.246,0,0.0878,0.309,107.014,194848
5/5/23,2023,#NAME?,Life Goes On,Ed Sheeran,0.629,0.312,0.0318,-7.609,0.813,0,0.169,0.456,77.044,210208
5/5/23,2023,#NAME?,Dusty,Ed Sheeran,0.711,0.55,0.0332,-9.682,0.226,0.00928,0.12,0.616,146.928,222957
5/5/23,2023,#NAME?,End Of Youth,Ed Sheeran,0.663,0.436,0.0359,-7.81,0.488,0,0.116,0.316,143.197,231040
5/5/23,2023,#NAME?,Colourblind,Ed Sheeran,0.428,0.296,0.0396,-8.731,0.85,3.63E-06,0.0767,0.156,169.744,209267
5/5/23,2023,#NAME?,Curtains,Ed Sheeran,0.5,0.757,0.0522,-6.542,0.0989,2.50E-06,0.324,0.443,175.944,224803
5/5/23,2023,#NAME?,Borderline,Ed Sheeran,0.51,0.316,0.0289,-10.001,0.941,2.50E-05,0.0936,0.226,139.917,237756
5/5/23,2023,#NAME?,Spark,Ed Sheeran,0.56,0.616,0.032,-7.523,0.776,0.000334,0.0901,0.399,172.031,214846
5/5/23,2023,#NAME?,Vega,Ed Sheeran,0.743,0.405,0.0416,-7.901,0.803,0,0.134,0.353,124.041,178114
5/5/23,2023,#NAME?,Sycamore,Ed Sheeran,0.592,0.32,0.0331,-8.069,0.727,0,0.259,0.35,134.085,170075
5/5/23,2023,#NAME?,No Strings,Ed Sheeran,0.644,0.345,0.0268,-6.433,0.829,0,0.12,0.252,80.957,174087
5/5/23,2023,#NAME?,The Hills of Aberfeldy,Ed Sheeran,0.436,0.19,0.0303,-7.693,0.872,0,0.0971,0.326,79.571,195083
5/5/23,2023,#NAME?,Wildflowers - Bonus Track,Ed Sheeran,0.764,0.233,0.0302,-9.099,0.86,0.00185,0.0939,0.155,131.982,178206
